#{"t_start": 1709585441.007676, "env_id": "Taxi-v3"}
r,l,t
-605.0,200,0.655287
-236.0,200,1.093226
-200.0,200,1.494215
-200.0,200,1.897736
-200.0,200,2.370095
-200.0,200,2.793911
-200.0,200,3.247695
-200.0,200,3.705973
-200.0,200,4.250977
-200.0,200,4.754141
-200.0,200,5.263257
-200.0,200,5.740465
-200.0,200,6.29544
-209.0,200,6.80685
-200.0,200,7.339728
-200.0,200,7.85715
-200.0,200,8.417372
-200.0,200,8.92371
-200.0,200,9.414015
-200.0,200,9.917945
-200.0,200,10.456219
-200.0,200,10.934
-200.0,200,11.416283
-200.0,200,11.89485
-200.0,200,12.438955
-200.0,200,12.941419
-200.0,200,13.453085
-200.0,200,13.983084
-200.0,200,14.519962
-200.0,200,15.010884
-209.0,200,15.526549
-200.0,200,16.034866
-200.0,200,16.600045
-200.0,200,17.122011
-200.0,200,17.613975
-200.0,200,18.114305
-200.0,200,18.668037
-200.0,200,19.199103
-200.0,200,19.694229
-200.0,200,20.185878
-200.0,200,20.752576
-200.0,200,21.25784
-200.0,200,21.738955
-200.0,200,22.221211
-200.0,200,22.77775
-200.0,200,23.253249
-200.0,200,23.766692
-200.0,200,24.264784
-200.0,200,24.838745
-200.0,200,25.317246
-200.0,200,25.791904
-200.0,200,26.298611
-200.0,200,26.874485
-200.0,200,27.360909
-200.0,200,27.846455
-200.0,200,28.335534
-200.0,200,28.895388
-200.0,200,29.393211
-200.0,200,29.937532
-200.0,200,30.451564
-200.0,200,31.030166
-200.0,200,31.507638
